set_num,name,year,theme_id,num_parts
11912-1,Star Wars: Build Your Own Adventure,2016,158,73
11920-1,Parts for Star Wars Build Your Own Adventure: Galactic Missions,2019,158,70
20006-1,Clone Turbo Tank - Mini,2008,158,64
20007-1,Republic Attack Cruiser - Mini,2009,158,84
20009-1,AT-TE Walker - Mini,2009,158,94
20010-1,Republic Gunship - Mini,2009,158,94
20016-1,Imperial Shuttle - Mini,2010,158,70
20018-1,AT-AT Walker - Mini,2010,158,83
20019-1,Slave I,2011,158,76
20021-1,Bounty Hunter Gunship - Mini,2011,158,81
2853590-1,Stormtrooper,2009,158,5
2853835-1,White Boba Fett Figure,2010,158,5
2856197-1,Shadow ARF Trooper,2011,158,5
30004-1,Battle Droid on STAP,2009,158,28
30005-1,Imperial Speeder Bike,2009,158,33
30006-1,Clone Walker,2009,158,31
30050-1,Republic Attack Shuttle - Mini,2010,158,54
30051-1,X-wing Fighter - Mini,2010,158,61
30052-1,AAT,2011,158,46
30053-1,Republic Attack Cruiser - Mini,2011,158,41
30054-1,AT-ST - Mini,2011,158,46
30055-1,Vulture Droid - Mini,2011,158,42
30056-1,Star Destroyer,2012,158,38
30057-1,Anakin's Pod Racer,2012,158,38
30058-1,STAP,2012,158,19
30059-1,MTT,2012,158,51
30240-1,Z-95 Headhunter,2013,158,54
30241-1,Mandalorian Fighter,2013,158,49
30242-1,Republic Frigate,2013,158,45
30243-1,Umbaran MHC,2013,158,49
30244-1,Anakin's Jedi Intercepter,2014,158,45
30246-1,Imperial Shuttle,2014,158,57
30247-1,ARC-170 Starfighter,2014,158,54
30272-1,A-Wing Starfighter,2015,158,58
30274-1,AT-DP,2015,158,65
30275-1,TIE Advanced Prototype,2015,158,47
30276-1,First Order Special Forces TIE Fighter Set,2015,158,41
30277-1,First Order Star Destroyer,2016,158,56
30278-1,Poe's X-wing Fighter,2015,158,64
30279-1,Kylo Ren's Command Shuttle,2016,158,43
30380-1,Kylo Ren's Shuttle,2018,158,33
30381-1,Imperial TIE Fighter,2018,158,42
30383-1,Naboo Starfighter,2019,158,48
30384-1,Snowspeeder,2019,158,49
30386-1,Poe Dameron's X-wing Fighter,2020,158,72
30461-1,Podracer,2019,158,61
30496-1,U-Wing Fighter,2017,158,55
30497-1,First Order Heavy Assault Walker,2017,158,54
30498-1,Imperial AT-Hauler,2018,158,49
30602-1,First Order Stormtrooper,2016,158,7
30605-1,Finn (FN-2187),2016,158,6
30611-1,R2-D2,2017,158,70
30624-1,Obi-Wan Kenobi - Collectible Minifigure,2019,158,12
3219-1,TIE Fighter - Mini,2002,158,12
3340-1,Star Wars #1 - Sith Minifig Pack,2000,158,29
3341-1,Star Wars #2 - Luke/Han/Boba Minifig Pack,2000,158,25
3342-1,Star Wars #3 - Troopers/Chewie Minifig Pack,2000,158,25
3343-1,Star Wars #4 - Battle Droid Minifig Pack,2000,158,33
40176-1,Scarif Stormtrooper,2017,158,25
40268-1,R3-M2,2017,158,22
40288-1,BB-8,2018,158,48
40298-1,DJ,2018,158,22
40299-1,Kessel Mine Worker,2018,158,22
40300-1,Han Solo Mudtrooper,2018,158,22
40333-1,Battle of Hoth - 20th Anniversary Edition,2019,158,195
40362-1,Battle of Endor - 20th Anniversary Edition,2019,158,197
40407-1,Death Star II Battle,2020,158,235
4151270-1,Star Wars Co-Pack of 7121 and 7111,2000,158,0
4195641-1,Star Wars Co-Pack of 7142 and 7152,2002,158,0
4207901-1,Star Wars MINI Bonus Pack,2003,158,0
445062-1,Star Wars Co-Pack of 4500 and 4504,2004,158,0
4475-1,Jabba's Message,2003,158,46
4476-1,Jabba's Prize,2003,158,40
4477-1,T-16 Skyhopper,2003,158,98
4478-1,"Geonosian Fighter, Black Box",2003,158,171
4478-2,Geonosian Fighter Blue Box,2004,158,172
4479-1,TIE Bomber,2003,158,229
4480-1,Jabba's Palace,2003,158,234
4481-1,Hailfire Droid,2003,158,680
4482-1,AT-TE,2003,158,651
4483-1,"AT-AT, black box",2003,158,1070
4483-2,"AT-AT, blue box",2004,158,1070
4484-1,X-wing Fighter & TIE Advanced - Mini,2003,158,72
4485-1,Sebulba's Podracer & Anakin's Podracer - Mini,2003,158,72
4486-1,AT-ST & Snowspeeder - Mini,2003,158,76
4487-1,Jedi Starfighter & Slave I - Mini,2003,158,53
4488-1,Millennium Falcon - Mini,2003,158,87
4489-1,AT-AT - Mini,2003,158,98
4490-1,Republic Gunship - Mini,2003,158,102
4491-1,Trade Federation MTT - Mini,2003,158,99
4492-1,Imperial Star Destroyer - Mini,2004,158,87
4493-1,Sith Infiltrator - Mini,2004,158,55
4494-1,Imperial Shuttle - Mini,2004,158,82
4495-1,AT-TE - Mini,2004,158,63
4500-1,Rebel Snowspeeder [Redesign] - Blue box,2003,158,217
4500-2,"Rebel Snowspeeder (redesign), Original Trilogy Edition box",2004,158,211
4501-1,"Mos Eisley Cantina, Blue box",2003,158,197
4501-2,"Mos Eisley Cantina, Original Trilogy Edition box",2004,158,196
4502-1,"X-wing Fighter (Dagobah), Blue box",2003,158,564
4502-2,"X-wing Fighter (Dagobah), Original Trilogy Edition box",2004,158,564
4504-1,"Millennium Falcon (Redesign), Blue box",2003,158,997
4504-2,"Millennium Falcon (Redesign), Original Trilogy Edition box",2003,158,996
4521221-1,Gold chrome plated C-3PO,2007,158,3
4547551-1,Darth Vader 10 Year Anniversary Promotional Minifigure,2009,158,7
5000062-1,Darth Maul,2012,158,7
